suite,case_id,backend,status,result,expected,elapsed_sec,error_type,error_message,tags,source
real,0,wfomc,solved,3003,3003,0.247625,,,set;choose;benchmark,problems/real/corpus.json
real,0,propositionalwfomc,error,,3003,0.274876,GanakError,ganak exited with code 255,set;choose;benchmark,problems/real/corpus.json
real,0,coso,solved,3003,3003,0.158288,,,set;choose;benchmark,problems/real/corpus.json
real,0,asp,solved,3003,3003,0.523381,,,set;choose;benchmark,problems/real/corpus.json
real,0,essence,solved,3003,3003,4.949737,,,set;choose;benchmark,problems/real/corpus.json
real,1,wfomc,solved,609,609,0.425645,,,set;choose_replace_permute;tuple;size constraint;intersection;benchmark,problems/real/corpus.json
real,1,propositionalwfomc,error,,609,1.104623,GanakError,ganak exited with code 255,set;choose_replace_permute;tuple;size constraint;intersection;benchmark,problems/real/corpus.json
real,1,coso,wrong,96,609,0.182273,WrongAnswer,"expected 609, got 96",set;choose_replace_permute;tuple;size constraint;intersection;benchmark,problems/real/corpus.json
real,1,asp,solved,609,609,0.194267,,,set;choose_replace_permute;tuple;size constraint;intersection;benchmark,problems/real/corpus.json
real,1,essence,solved,609,609,2.045909,,,set;choose_replace_permute;tuple;size constraint;intersection;benchmark,problems/real/corpus.json
real,2,wfomc,solved,23,23,0.515009,,,bag;choose;size constraint;benchmark,problems/real/corpus.json
real,2,propositionalwfomc,error,,23,0.498094,GanakError,ganak exited with code 255,bag;choose;size constraint;benchmark,problems/real/corpus.json
real,2,coso,wrong,20,23,0.183761,WrongAnswer,"expected 23, got 20",bag;choose;size constraint;benchmark,problems/real/corpus.json
real,2,asp,unsolved,20,23,0.165013,WrongAnswer,"expected 23, got 20",bag;choose;size constraint;benchmark,problems/real/corpus.json
real,2,essence,unsolved,20,23,5.302925,WrongAnswer,"expected 23, got 20",bag;choose;size constraint;benchmark,problems/real/corpus.json
real,3,wfomc,solved,165,165,0.240983,,,set;choose,problems/real/corpus.json
real,3,propositionalwfomc,error,,165,0.239132,GanakError,ganak exited with code 255,set;choose,problems/real/corpus.json
real,3,coso,solved,165,165,0.135666,,,set;choose,problems/real/corpus.json
real,3,asp,solved,165,165,0.130022,,,set;choose,problems/real/corpus.json
real,3,essence,solved,165,165,1.993621,,,set;choose,problems/real/corpus.json
real,4,wfomc,solved,6732,6732,0.960990,,,set;choose;not constraint;or constraint;benchmark,problems/real/corpus.json
real,4,propositionalwfomc,error,,6732,5.054549,GanakError,ganak exited with code 255,set;choose;not constraint;or constraint;benchmark,problems/real/corpus.json
